Japanese,English
の,of
に,On
は,teeth
た,rice field
を,of
だ,is
が,But
て,hand
と,When
ます,increase
も,and
で,and
ている,ing
です,is
れる,Be
という,As
事,case
えー,Um
言う,To tell
のです,That is
あの,that
する,do
まー,Ma
の,of
ある,be
ね,hey
ない,do not have
なる,Become
か,mosquito
その,That
けれど,But
から,from
よう,So
思う,think
で,and
か,mosquito
が,But
物,object
そう,yes
何,what
と,When
私,Me
てしまう,Be
それ,that
とか,And
この,this
無い,No
行く,go
のだ,Tremendous
せる,Make
これ,this
もう,Already
である,Be
時,Time
な,Named
ず,figure
ので,So
人,Man
よ,world
こう,like this
から,from
ば,palce
や,or
来る,come
その,That
まで,to
見る,look
たり,Otherwise
今,now
良い,good
所,Place
自分,myself
ん,Hmm
あー,ah
やはり,also
たい,sea ​​bream
やる,do
中,During ~
いる,Be
できる,can
など,Such
として,As
後,rear
また,Also
ちょっと,A little
てくる,Come
だけ,only
くらい,About
ではない,is not
えーと,Um
方,direction
ていく,To go
訳,reason
へ,What
どう,copper
し,death
本当,For real
持つ,Hold
出る,Come out
ため,For
すごい,very
考える,think
そこ,There
う,cormorant
分かる,Understand
ておる,Be
について,about
それで,So
入る,come in
作る,make
てみる,Try
聞く,listen
そして,and
てくれる,Give me
場合,case
話,Talk
ながら,While
そんな,Such
使う,use
日本,Japan
風,Wind
おー,Oh
前,Previous
多い,many
のではない,Not
よく,Often
一つ,One
子供,child
非常,Informal
気,air
ても,Perhaps
取る,take
うち,home
知る,know
より,Than
それから,after that
うー,Hmm
感じ,Feeling
みたい,want to see
でも,but
ここ,here
とても,very
いろいろ,various
一,one
そう,yes
行なう,Perform
一番,number one
二,two
同じ,same
まず,first
必要,requirement
仕事,work
余り,remainder
によって,By
かもしれない,May
僕,I
皆,all
彼,he
方,direction
食べる,eat
ほど,Degree
しかし,However
書く,describe
入れる,put in
次,Next
結構,very well
問題,problem
例えば,for example
目,eye
頃,Time
上,Up
てくださる,Be
他,other
いつ,when
家,House
付く,Be attached
日,Day
出す,put out
一人,One person
人間,human
どこ,Where
ございます,Yes
時間,time
ただ,However
だから,that's why
違う,Wrong
受ける,receive
言葉,words
なんか,Something
少し,a bit
まま,Be
買う,buy
まだ,yet
手,hand
話す,talk
好き,Like
返る,Return
てもらう,Get
掛ける,Put on
終わる,End